id_cliente,edad,genero,ciudad,tipo_poliza,antiguedad_meses,valor_poliza,reclamaciones,pqr,retrasos_pago,canal_atencion,fecha_actualizacion,churn
CLI0039,33,Masculino,Medellín,Salud,25,379188,1,1,2,Telefonico,2025-04-20,0
CLI0040,32,Masculino,Bogotá,Salud,23,792509,2,1,1,Web,2024-08-18,1
CLI0041,64,Masculino,Bogotá,Vida,24,248616,2,0,0,Web,2025-07-12,0
CLI0042,68,Masculino,Medellín,Vida,38,129976,1,3,1,Presencial,2025-09-21,0
CLI0043,61,Masculino,Cali,Vehiculo,28,505468,1,0,0,App,2025-11-19,0
CLI0044,72,Masculino,Bucaramanga,Hogar,21,345976,1,0,2,Web,2026-07-09,0
CLI0045,69,Femenino,Bucaramanga,Vehiculo,54,301883,1,1,2,Presencial,2025-08-27,0
CLI0046,74,Masculino,Bogotá,Salud,107,291509,1,1,1,App,2025-03-26,0
CLI0047,20,Masculino,Bogotá,Vehiculo,18,576965,3,1,1,Web,2025-03-08,0
CLI0048,54,Femenino,Cali,Vehiculo,36,900580,2,1,1,Web,2025-07-31,0
CLI0049,68,Femenino,Barranquilla,Vehiculo,99,843529,4,1,1,Presencial,2025-07-25,0
CLI0050,24,Femenino,Medellín,Vehiculo,45,598823,2,2,1,Web,2024-12-10,0
CLI0051,38,Femenino,Bogotá,Hogar,119,299526,2,2,0,Telefonico,2025-12-25,0
CLI0052,26,Femenino,Bucaramanga,Hogar,73,978662,2,1,1,App,2025-04-13,0
CLI0053,56,Femenino,Cali,Vida,53,427220,2,2,0,App,2025-06-04,0
CLI0054,35,Femenino,Medellín,Salud,102,904834,0,3,2,Telefonico,2025-08-10,1
CLI0055,21,Masculino,Cali,Vehiculo,30,793087,1,2,0,Presencial,2025-04-28,0
CLI0056,42,Masculino,Medellín,Vida,60,118578,2,2,1,Telefonico,2025-03-16,1
CLI0057,31,Femenino,Medellín,Vida,108,694741,1,3,0,Telefonico,2026-07-05,0
CLI0058,67,Masculino,Bogotá,Vida,98,495534,1,1,1,App,2025-12-21,0
CLI0059,75,Masculino,Cali,Hogar,32,942147,1,1,0,Presencial,2024-09-10,0
CLI0060,26,Masculino,Cali,Vehiculo,67,288859,1,2,0,Web,2026-03-06,0
CLI0061,43,Femenino,Bucaramanga,Vehiculo,67,191435,1,0,0,Telefonico,2025-06-03,0
CLI0062,70,Femenino,Bucaramanga,Salud,28,820389,0,0,0,Telefonico,2025-08-15,0
CLI0063,19,Masculino,Bogotá,Vehiculo,44,231538,2,1,1,Presencial,2026-01-27,0
CLI0064,37,Femenino,Bogotá,Vehiculo,79,962174,2,0,0,Telefonico,2025-06-12,0
CLI0065,45,Masculino,Barranquilla,Vida,41,125475,2,1,0,Presencial,2025-05-29,0
CLI0066,64,Masculino,Bucaramanga,Salud,63,926574,0,0,2,Web,2026-06-21,0
CLI0067,24,Masculino,Medellín,Vehiculo,23,820520,3,1,1,Presencial,2025-07-04,0
CLI0068,61,Masculino,Cali,Hogar,104,237636,1,1,0,Web,2024-08-28,0
CLI0069,25,Femenino,Bogotá,Vehiculo,75,233484,0,2,0,Presencial,2026-05-14,0
CLI0070,64,Femenino,Cali,Vida,48,173526,1,0,1,Telefonico,2024-08-14,0
CLI0071,52,Femenino,Cali,Hogar,32,131001,1,0,1,Web,2025-02-03,0
CLI0072,31,Masculino,Barranquilla,Vida,57,924081,4,2,1,Telefonico,2025-05-08,0
CLI0073,34,Femenino,Bucaramanga,Vehiculo,118,272029,1,1,0,Web,2025-04-14,0
CLI0074,53,Masculino,Bogotá,Hogar,100,508733,0,2,2,Presencial,2026-03-12,0
CLI0075,67,Femenino,Cali,Salud,33,748516,2,1,1,Presencial,2025-11-23,0
CLI0076,57,Masculino,Bogotá,Salud,24,629999,1,1,0,Presencial,2025-10-11,0
CLI0077,21,Masculino,Medellín,Hogar,39,634394,1,1,0,App,2024-11-29,0
CLI0078,19,Masculino,Barranquilla,Hogar,34,931890,1,2,0,App,2026-03-18,1
CLI0079,23,Femenino,Medellín,Vida,56,562488,1,1,0,Web,2025-04-04,0
CLI0080,71,Femenino,Bogotá,Hogar,28,472573,1,0,0,App,2025-09-23,0
CLI0081,59,Femenino,Bogotá,Vida,37,297583,3,0,1,Presencial,2025-01-23,0
CLI0082,21,Femenino,Bucaramanga,Vehiculo,7,443898,1,1,1,App,2024-11-07,0
CLI0083,71,Masculino,Cali,Vida,68,218286,0,0,1,App,2026-06-16,0
CLI0084,46,Femenino,Cali,Hogar,37,307189,0,4,0,Telefonico,2025-12-08,0
CLI0085,35,Femenino,Medellín,Hogar,56,206479,1,0,0,Web,2026-06-14,0
CLI0086,43,Masculino,Barranquilla,Vehiculo,65,500343,3,3,2,Web,2026-01-15,1
CLI0087,61,Masculino,Cali,Hogar,65,216213,0,1,0,Web,2026-05-09,0
CLI0088,51,Masculino,Bucaramanga,Hogar,47,633172,0,0,1,App,2025-02-04,0
CLI0089,27,Femenino,Medellín,Salud,20,344852,2,0,1,Presencial,2026-02-21,0
CLI0090,53,Masculino,Medellín,Salud,19,884807,0,4,0,Telefonico,2025-05-30,0
CLI0091,31,Masculino,Bucaramanga,Vehiculo,29,619376,0,0,1,Web,2026-05-22,1
CLI0092,48,Masculino,Barranquilla,Vida,74,399759,1,0,0,App,2025-02-27,0
CLI0093,65,Femenino,Bucaramanga,Salud,60,452282,0,1,1,Presencial,2026-06-10,0
CLI0094,32,Masculino,Barranquilla,Vida,18,780406,1,1,1,Telefonico,2026-06-17,0
CLI0095,25,Femenino,Bucaramanga,Hogar,92,352158,1,0,2,Telefonico,2025-10-12,0
CLI0096,31,Femenino,Bucaramanga,Salud,35,799785,0,0,1,Web,2025-04-23,0
CLI0097,40,Masculino,Bogotá,Vehiculo,43,476489,2,2,2,Web,2025-01-28,0
CLI0098,74,Masculino,Medellín,Vehiculo,111,782495,1,2,1,Presencial,2025-07-17,0
CLI0099,57,Femenino,Bucaramanga,Vehiculo,95,444986,1,0,1,App,2025-04-10,0
CLI0100,38,Masculino,Bucaramanga,Salud,91,570238,3,2,5,Presencial,2025-11-12,0
CLI0101,33,Masculino,Cali,Vida,11,158077,0,1,1,Web,2024-12-29,0
CLI0102,62,Femenino,Medellín,Hogar,49,219784,0,3,1,Presencial,2026-02-03,0
CLI0103,35,Femenino,Cali,Vida,113,285776,3,0,3,App,2025-08-09,0
CLI0104,64,Masculino,Medellín,Vida,38,395018,1,0,0,Telefonico,2025-06-08,0
CLI0105,70,Femenino,Cali,Hogar,64,149087,3,0,1,Telefonico,2024-09-02,0
CLI0106,41,Masculino,Bucaramanga,Hogar,69,878729,2,0,1,Telefonico,2026-01-12,0
CLI0107,43,Masculino,Bucaramanga,Salud,8,844629,4,2,1,Telefonico,2026-07-19,0
CLI0108,42,Masculino,Bogotá,Salud,34,893560,2,1,2,Web,2025-05-15,0
CLI0109,62,Femenino,Cali,Salud,48,672656,4,0,0,Web,2024-08-05,0
CLI0110,58,Masculino,Barranquilla,Salud,116,823859,1,0,0,App,2025-10-19,0
CLI0111,46,Masculino,Bogotá,Salud,56,421102,1,1,1,App,2025-11-16,0
CLI0112,32,Masculino,Cali,Hogar,76,375064,3,1,2,App,2025-01-08,0
CLI0113,62,Femenino,Cali,Vida,102,331514,2,1,1,App,2025-01-30,0
CLI0114,18,Femenino,Bogotá,Salud,65,222180,0,0,0,Presencial,2025-03-29,0
CLI0115,42,Femenino,Bucaramanga,Salud,31,864192,0,0,2,App,2025-03-21,0
CLI0116,24,Femenino,Cali,Vida,4,515928,1,1,2,Telefonico,2024-08-26,0
CLI0117,26,Femenino,Bucaramanga,Salud,113,681891,2,2,0,Telefonico,2025-09-02,0
CLI0118,41,Masculino,Bogotá,Vida,109,113872,1,1,0,Telefonico,2025-01-16,0
CLI0119,18,Femenino,Bucaramanga,Vida,50,352872,3,0,2,Presencial,2026-06-30,0
CLI0120,61,Femenino,Medellín,Hogar,69,437246,3,1,0,App,2024-11-29,0
CLI0121,25,Femenino,Barranquilla,Vehiculo,30,568535,0,0,0,Telefonico,2026-06-19,0
CLI0122,41,Masculino,Cali,Hogar,120,464193,0,0,3,Telefonico,2025-08-15,0
CLI0123,28,Femenino,Barranquilla,Vehiculo,88,887015,2,1,0,Telefonico,2025-09-01,0
CLI0124,68,Femenino,Bucaramanga,Vehiculo,59,165774,4,2,2,Telefonico,2025-01-19,0
CLI0125,34,Masculino,Cali,Vehiculo,67,468518,1,0,1,Web,2025-11-04,0
CLI0126,25,Femenino,Bucaramanga,Salud,75,278522,0,0,0,App,2025-06-14,0
CLI0127,52,Masculino,Medellín,Hogar,45,300357,1,4,0,App,2025-01-03,0
CLI0128,52,Masculino,Bogotá,Vehiculo,4,492672,1,0,0,Presencial,2026-07-13,0
CLI0129,50,Masculino,Cali,Vida,26,957550,2,0,0,Web,2025-08-19,0
CLI0130,22,Masculino,Medellín,Salud,27,145942,1,1,1,Presencial,2024-11-26,0
CLI0131,59,Masculino,Medellín,Hogar,46,617977,2,0,1,Telefonico,2026-06-25,0
CLI0132,56,Femenino,Cali,Vehiculo,118,637564,0,1,0,Presencial,2024-11-20,0
CLI0133,75,Masculino,Bucaramanga,Vida,107,589565,2,2,1,Telefonico,2026-05-01,0
CLI0134,58,Masculino,Medellín,Hogar,64,602552,4,1,0,Telefonico,2026-01-28,0
CLI0135,45,Femenino,Barranquilla,Hogar,91,706256,3,1,3,App,2024-08-03,0
CLI0136,24,Masculino,Medellín,Salud,106,493089,0,0,0,App,2026-07-04,0
CLI0137,26,Femenino,Bucaramanga,Hogar,51,879482,2,1,1,App,2025-01-30,0
CLI0138,25,Femenino,Bucaramanga,Salud,50,670504,2,1,1,App,2025-07-25,0
CLI0139,29,Femenino,Barranquilla,Vehiculo,6,819804,1,2,1,App,2025-02-17,1
CLI0140,51,Masculino,Medellín,Salud,59,426184,0,1,2,Web,2025-08-21,0
CLI0141,50,Masculino,Bucaramanga,Vida,15,625932,2,0,3,App,2025-06-08,1
CLI0142,65,Masculino,Cali,Salud,117,142021,2,2,1,Presencial,2026-01-17,1
CLI0143,72,Femenino,Bogotá,Vida,30,772485,0,1,2,Telefonico,2026-05-15,0
CLI0144,40,Masculino,Bogotá,Salud,42,540115,1,1,2,App,2026-02-15,0
CLI0145,41,Masculino,Bogotá,Hogar,101,122291,3,2,0,Web,2026-05-03,0
CLI0146,54,Masculino,Medellín,Vehiculo,37,508276,2,2,2,Presencial,2025-11-10,1
CLI0147,52,Femenino,Barranquilla,Vida,42,474754,0,0,1,Presencial,2025-04-16,0
CLI0148,61,Femenino,Bucaramanga,Salud,101,383664,0,2,1,Telefonico,2026-01-05,0
CLI0149,57,Masculino,Cali,Salud,35,105675,2,4,1,Presencial,2024-08-07,0
CLI0150,39,Masculino,Cali,Salud,87,753647,1,3,2,Presencial,2025-11-03,0
CLI0151,44,Masculino,Medellín,Hogar,6,342318,1,0,0,Presencial,2025-11-11,0
CLI0152,52,Masculino,Bogotá,Hogar,68,172268,3,2,0,Presencial,2025-03-13,0
CLI0153,18,Femenino,Medellín,Vida,18,377142,2,1,1,Web,2025-03-07,0
CLI0154,52,Femenino,Barranquilla,Vida,73,788672,0,1,0,Telefonico,2024-08-05,0
CLI0155,54,Femenino,Barranquilla,Hogar,113,709698,0,1,1,App,2025-01-02,0
CLI0156,64,Femenino,Bucaramanga,Vida,29,417369,2,3,0,Presencial,2025-02-23,0
CLI0157,31,Masculino,Bucaramanga,Vehiculo,77,911246,0,0,1,Web,2024-08-09,0
CLI0158,20,Masculino,Barranquilla,Vehiculo,59,427235,3,1,1,Telefonico,2025-09-23,0
CLI0159,18,Masculino,Barranquilla,Hogar,47,392863,1,4,2,App,2026-02-08,1
CLI0160,22,Femenino,Barranquilla,Vida,116,209887,1,1,0,Telefonico,2025-05-27,1
CLI0161,43,Masculino,Medellín,Salud,17,376063,3,2,1,Web,2025-04-25,0
CLI0162,72,Femenino,Barranquilla,Vehiculo,109,415299,1,2,2,Web,2026-04-22,0
CLI0163,31,Femenino,Cali,Hogar,96,413713,0,0,0,Web,2026-07-16,0
CLI0164,56,Masculino,Bogotá,Vida,112,907760,4,2,0,Presencial,2024-08-22,0
CLI0165,44,Masculino,Barranquilla,Hogar,22,281554,1,3,1,Web,2025-11-16,0
CLI0166,26,Masculino,Bogotá,Salud,68,891050,3,0,1,App,2025-11-30,0
CLI0167,32,Femenino,Medellín,Vehiculo,69,638963,1,2,2,Presencial,2025-08-18,0
CLI0168,32,Masculino,Bogotá,Hogar,37,575010,3,2,2,Telefonico,2025-11-25,1
CLI0169,43,Femenino,Medellín,Hogar,105,885351,1,2,1,App,2026-04-18,0
CLI0170,59,Masculino,Cali,Hogar,49,870605,0,2,1,Presencial,2024-09-06,0
CLI0171,30,Femenino,Medellín,Salud,13,451513,1,0,4,Web,2024-10-03,0
CLI0172,68,Femenino,Medellín,Hogar,34,892832,2,1,3,Telefonico,2025-10-18,0
CLI0173,49,Masculino,Bucaramanga,Salud,109,261517,1,2,2,Web,2026-02-13,0
CLI0174,56,Femenino,Barranquilla,Salud,86,150305,0,1,1,App,2025-06-07,0
CLI0175,66,Femenino,Barranquilla,Salud,53,772924,1,1,0,App,2026-06-15,0
CLI0176,69,Masculino,Cali,Vehiculo,87,519030,1,1,0,Presencial,2026-06-19,0
CLI0177,49,Femenino,Cali,Vehiculo,51,552963,2,1,1,App,2025-09-14,0
CLI0178,21,Masculino,Barranquilla,Hogar,3,693079,3,2,2,Telefonico,2025-12-23,0
CLI0179,47,Femenino,Bucaramanga,Hogar,42,239034,5,0,1,Presencial,2025-03-06,0
CLI0180,54,Masculino,Barranquilla,Vehiculo,98,558108,3,3,0,Telefonico,2024-08-19,0
CLI0181,40,Masculino,Bucaramanga,Vida,32,674821,2,0,2,Web,2025-05-17,0
CLI0182,56,Femenino,Cali,Vehiculo,109,267256,3,2,0,Telefonico,2026-03-10,0
CLI0183,62,Femenino,Bogotá,Salud,51,556128,2,1,1,Telefonico,2026-07-04,0
CLI0184,32,Femenino,Cali,Vehiculo,113,970023,2,0,0,App,2025-01-25,0
CLI0185,60,Femenino,Cali,Salud,85,745938,1,2,0,Web,2024-10-11,0
CLI0186,46,Femenino,Medellín,Hogar,46,735348,1,0,0,App,2024-09-10,0
CLI0187,53,Masculino,Medellín,Vida,108,753984,1,0,0,Web,2026-02-15,0
CLI0188,30,Femenino,Medellín,Hogar,21,905626,4,2,0,Web,2024-11-04,1
CLI0189,49,Masculino,Medellín,Salud,44,452047,3,0,1,Telefonico,2024-12-23,0
CLI0190,24,Masculino,Bucaramanga,Salud,11,473605,1,1,0,App,2025-11-25,0
CLI0191,68,Femenino,Barranquilla,Salud,103,441447,1,0,0,Telefonico,2025-08-09,0
CLI0192,39,Masculino,Bogotá,Vida,68,322188,3,1,1,Telefonico,2026-04-12,0
CLI0193,45,Masculino,Cali,Vehiculo,115,456047,1,0,2,Telefonico,2024-09-08,0
CLI0194,19,Masculino,Bucaramanga,Hogar,1,933823,1,3,1,Web,2024-08-31,1
CLI0195,59,Masculino,Bogotá,Hogar,92,317501,1,0,1,App,2024-08-12,0
CLI0196,62,Femenino,Bucaramanga,Vehiculo,63,400146,1,0,0,App,2025-12-10,0
CLI0197,74,Masculino,Bucaramanga,Hogar,24,377675,0,3,0,Telefonico,2026-07-08,0
CLI0198,70,Femenino,Cali,Vida,99,788175,3,1,1,Web,2026-07-06,0
CLI0199,23,Femenino,Barranquilla,Hogar,13,609274,1,3,0,App,2025-07-16,0
CLI0200,45,Masculino,Medellín,Salud,111,898730,0,2,2,Presencial,2024-08-01,0
CLI0201,45,Femenino,Barranquilla,Vehiculo,98,343625,2,0,0,App,2025-08-20,0
CLI0202,61,Femenino,Cali,Vida,11,922840,1,1,2,Telefonico,2025-07-19,0
CLI0203,61,Femenino,Cali,Vehiculo,100,280339,2,1,1,Presencial,2025-02-25,0
CLI0204,37,Masculino,Cali,Vida,51,726238,1,1,1,Web,2026-07-15,1
CLI0205,47,Femenino,Bogotá,Salud,17,205355,2,0,1,Presencial,2025-11-29,0
CLI0206,28,Femenino,Barranquilla,Vehiculo,99,107798,0,2,1,Presencial,2024-08-13,0
CLI0207,75,Femenino,Barranquilla,Hogar,82,695937,2,2,2,Telefonico,2024-11-15,0
CLI0208,72,Masculino,Bucaramanga,Vida,104,407031,1,0,2,App,2024-08-14,0
CLI0209,45,Femenino,Bucaramanga,Vehiculo,86,99477,2,0,1,Web,2025-02-08,0
CLI0210,42,Masculino,Bucaramanga,Hogar,24,490482,3,5,0,Presencial,2024-12-26,1
CLI0211,56,Masculino,Cali,Vehiculo,19,297400,1,0,0,Telefonico,2024-09-12,0
CLI0212,50,Masculino,Barranquilla,Vehiculo,37,297060,2,0,0,App,2026-01-11,0
CLI0213,18,Masculino,Cali,Vehiculo,103,469959,1,1,0,Presencial,2025-11-26,0
CLI0214,74,Masculino,Bogotá,Vida,85,591181,3,2,1,Telefonico,2026-04-05,0
CLI0215,44,Masculino,Bucaramanga,Hogar,8,587831,1,1,2,Telefonico,2026-07-23,0
CLI0216,74,Femenino,Cali,Salud,28,993858,1,2,3,Telefonico,2024-12-11,0
CLI0217,69,Masculino,Cali,Vida,5,485105,1,1,0,Web,2026-07-09,0
CLI0218,30,Femenino,Bogotá,Vida,17,366479,1,1,4,App,2025-12-04,1
CLI0219,58,Femenino,Medellín,Vida,101,428754,0,2,1,Presencial,2024-12-24,0
CLI0220,20,Masculino,Barranquilla,Salud,36,353586,1,1,0,App,2026-07-05,0
CLI0221,56,Femenino,Medellín,Hogar,118,912721,1,1,1,App,2026-05-12,0
CLI0222,23,Femenino,Bucaramanga,Hogar,19,920179,1,1,2,Presencial,2024-12-13,0
CLI0223,25,Femenino,Cali,Hogar,64,903759,1,1,3,App,2026-01-14,0
CLI0224,44,Femenino,Bogotá,Vehiculo,91,414971,3,1,0,Web,2025-01-23,0
CLI0225,26,Masculino,Bogotá,Vehiculo,117,710752,0,2,1,Presencial,2026-05-01,0
CLI0226,54,Femenino,Barranquilla,Vehiculo,98,211184,1,0,0,Presencial,2026-05-09,1
CLI0227,50,Masculino,Medellín,Salud,11,167051,2,1,1,Telefonico,2025-10-05,0
CLI0228,68,Femenino,Barranquilla,Vehiculo,54,230653,0,4,1,App,2025-10-09,0
CLI0229,59,Femenino,Cali,Salud,45,325300,2,0,2,Presencial,2024-10-23,0
CLI0230,61,Masculino,Barranquilla,Hogar,47,664010,1,0,0,Presencial,2025-05-04,0
CLI0231,41,Femenino,Bogotá,Vehiculo,12,172036,3,1,2,Web,2025-10-24,1
CLI0232,32,Femenino,Bogotá,Vehiculo,118,832922,1,2,0,Telefonico,2026-06-03,0
CLI0233,71,Femenino,Bucaramanga,Vida,21,227595,4,4,0,Presencial,2025-08-24,0
CLI0234,49,Masculino,Bucaramanga,Salud,118,933392,0,2,3,Web,2025-04-23,0
CLI0235,49,Femenino,Cali,Hogar,11,852997,2,0,1,Presencial,2025-08-24,0
CLI0236,41,Masculino,Medellín,Vida,103,361696,1,0,0,Presencial,2024-11-29,0
CLI0237,58,Femenino,Barranquilla,Vida,92,596612,1,1,1,Presencial,2026-05-31,0
CLI0238,69,Masculino,Cali,Hogar,5,221880,6,0,0,Web,2024-11-14,0
CLI0239,66,Masculino,Bucaramanga,Vida,81,315419,2,1,1,App,2025-05-29,0
CLI0240,66,Femenino,Barranquilla,Salud,56,234692,1,3,3,Presencial,2024-10-12,0
CLI0241,75,Femenino,Bucaramanga,Salud,20,343031,2,0,2,Presencial,2024-08-03,1
CLI0242,69,Masculino,Barranquilla,Vehiculo,41,373946,5,3,0,App,2025-11-18,0
CLI0243,29,Masculino,Medellín,Vida,46,689312,1,1,0,Presencial,2024-08-25,0
CLI0244,56,Femenino,Cali,Vehiculo,12,568765,3,0,2,Telefonico,2025-08-19,1
CLI0245,19,Masculino,Barranquilla,Vida,70,850097,1,1,2,Presencial,2025-02-21,0
CLI0246,20,Femenino,Bogotá,Salud,17,722927,1,0,1,Telefonico,2025-10-01,0
CLI0247,66,Femenino,Bogotá,Salud,115,984680,0,1,2,App,2024-11-24,0
CLI0248,54,Femenino,Barranquilla,Salud,19,686226,3,2,1,Web,2025-11-29,0
CLI0249,66,Femenino,Barranquilla,Vida,26,297813,3,1,1,App,2025-06-15,0
CLI0250,73,Masculino,Barranquilla,Salud,48,856388,2,1,1,Presencial,2025-12-27,0
CLI0251,34,Femenino,Bogotá,Vida,108,464890,1,4,1,Telefonico,2025-03-03,0
CLI0252,66,Masculino,Bogotá,Vehiculo,108,892481,1,4,0,Web,2025-04-14,0
CLI0253,19,Femenino,Barranquilla,Vida,52,419933,2,1,3,Presencial,2026-06-26,0
CLI0254,19,Masculino,Bucaramanga,Vehiculo,96,688814,0,1,3,Web,2026-02-04,0
CLI0255,45,Femenino,Bucaramanga,Vida,70,481062,0,1,3,Web,2025-07-10,0
CLI0256,71,Masculino,Medellín,Vehiculo,55,563779,2,0,0,Presencial,2026-07-15,0
CLI0257,40,Masculino,Cali,Salud,100,577952,2,2,1,App,2024-08-20,0
CLI0258,54,Femenino,Bucaramanga,Vehiculo,102,650508,2,2,0,Presencial,2026-06-14,0
CLI0259,49,Femenino,Bogotá,Salud,75,912595,0,0,0,Presencial,2026-05-31,0
CLI0260,50,Femenino,Bucaramanga,Salud,33,476981,0,1,1,App,2026-05-24,0
CLI0261,18,Femenino,Medellín,Vehiculo,62,459270,1,1,1,Telefonico,2024-10-11,0
CLI0262,36,Masculino,Medellín,Vida,88,947918,2,1,0,Presencial,2025-07-31,0
CLI0263,19,Femenino,Cali,Vida,23,155277,0,0,0,Web,2026-02-20,0
CLI0264,70,Masculino,Bucaramanga,Hogar,15,599570,1,1,0,Presencial,2025-03-31,0
CLI0265,61,Masculino,Bogotá,Vida,27,563455,1,0,2,Presencial,2025-05-27,0
CLI0266,43,Femenino,Bogotá,Hogar,75,970677,3,1,1,Web,2025-03-30,0
CLI0267,49,Masculino,Barranquilla,Vida,64,202332,0,0,2,App,2025-12-14,0
CLI0268,23,Masculino,Bogotá,Vida,115,314231,0,5,2,Telefonico,2025-07-27,0
CLI0269,49,Masculino,Cali,Salud,114,627219,1,3,1,Telefonico,2026-02-04,0
CLI0270,72,Masculino,Cali,Hogar,81,169116,2,0,2,Web,2025-06-17,0
CLI0271,21,Femenino,Bogotá,Vida,51,331671,1,3,0,App,2025-01-10,1
CLI0272,72,Femenino,Bogotá,Hogar,53,922065,4,0,1,Presencial,2024-12-19,0
CLI0273,28,Femenino,Barranquilla,Salud,78,553918,2,0,1,Presencial,2025-11-04,0
CLI0274,73,Femenino,Bogotá,Salud,91,656201,0,1,1,Presencial,2026-01-07,0
CLI0275,34,Masculino,Barranquilla,Hogar,82,854504,1,0,1,Presencial,2026-05-11,0
CLI0276,55,Masculino,Barranquilla,Salud,92,699064,3,1,1,Presencial,2026-01-20,0
CLI0277,41,Femenino,Bogotá,Vehiculo,51,105991,2,2,2,Web,2024-11-21,1
CLI0278,22,Femenino,Medellín,Vehiculo,47,594265,1,3,2,Presencial,2026-01-24,1
CLI0279,69,Femenino,Medellín,Salud,111,790205,0,0,0,Presencial,2025-10-29,0
CLI0280,51,Masculino,Barranquilla,Vehiculo,4,708380,0,0,2,App,2026-05-19,0
CLI0281,23,Femenino,Bogotá,Vida,7,309577,3,2,0,Presencial,2026-07-22,0
CLI0282,39,Femenino,Medellín,Hogar,109,790672,3,1,0,Telefonico,2024-11-04,0
CLI0283,28,Femenino,Bogotá,Vida,35,483777,0,2,1,Web,2025-12-28,0
CLI0284,65,Masculino,Bogotá,Hogar,48,841401,2,1,2,Web,2025-10-15,1
CLI0285,33,Masculino,Bogotá,Salud,73,175556,0,1,1,Web,2025-05-13,0
CLI0286,50,Masculino,Bucaramanga,Vida,72,929307,4,0,1,Telefonico,2025-01-26,0
CLI0287,26,Masculino,Bogotá,Salud,116,236989,0,1,2,Presencial,2026-01-20,0
